set_id,set_number,set_name,theme,release_year,msrp_usd,start_date,end_date,observation_months,start_price_usd,price_12m_usd,price_24m_usd,roi_12m_pct,roi_24m_pct,annualized_roi_pct,max_drawdown_pct,win_12m,win_24m,source_dataset,pattern_tags
42,4722-1,Gryffindor House,Harry Potter,2001,9.9900,2015-12-01,2019-04-01,41,49.0000,48.2000,45.5650,-1.6327,-7.0102,-3.5688,-16.7209,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
43,4723-1,Diagon Alley Shops,Harry Potter,2001,9.9900,2015-12-01,2019-04-01,41,89.0000,68.4700,71.3650,-23.0674,-19.8146,-10.4537,-30.1124,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
44,4711-1,Flying Lesson,Harry Potter,2002,3.9900,2015-12-01,2019-04-01,41,25.3300,31.9300,24.9700,26.0561,-1.4212,-0.7132,-35.3202,1,0,mendeley_small_2015_2019,"[""franchise_power""]"
45,4712-1,Troll on the Loose,Harry Potter,2002,9.9900,2015-12-01,2019-04-01,41,47.6000,54.3300,56.5650,14.1387,18.8340,9.0110,-43.1687,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
46,4714-1,Gringott's Bank,Harry Potter,2002,29.9900,2015-12-01,2019-04-01,41,74.2000,70.9300,63.8000,-4.4070,-14.0162,-7.2725,-29.3305,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
47,4726-1,Quidditch Practice,Harry Potter,2002,12.9900,2015-12-01,2019-04-01,41,53.3300,65.8000,59.7000,23.3827,11.9445,5.8038,-41.5995,1,0,mendeley_small_2015_2019,"[""franchise_power""]"
48,4727-1,Aragog in the Dark Forest,Harry Potter,2002,19.9900,2016-01-01,2019-04-01,40,49.0000,46.8700,55.9300,-4.3469,14.1429,6.8377,-30.6122,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
49,4728-1,Escare from the Privet Drive,Harry Potter,2002,29.9900,2015-12-01,2019-04-01,41,83.7300,131.2000,126.2000,56.6941,50.7226,22.7691,-34.0253,1,1,mendeley_small_2015_2019,"[""franchise_power""]"
50,4729-1,Dambledor's Office,Harry Potter,2002,49.9900,2015-12-01,2019-04-01,41,130.7300,170.6700,159.3000,30.5515,21.8542,10.3876,-35.0032,1,0,mendeley_small_2015_2019,"[""franchise_power""]"
51,4730-1,The Chamber of Secrets,Harry Potter,2002,69.9900,2015-12-01,2019-04-01,41,187.9300,207.2000,175.0000,10.2538,-6.8802,-3.5014,-25.7143,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
52,4731-1,Dobby's Release,Harry Potter,2002,6.9900,2015-12-01,2019-04-01,41,34.0700,34.1300,35.6650,0.1761,4.6815,2.3140,-38.5718,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
53,4733-1,The Dueling Club,Harry Potter,2002,19.9900,2015-12-01,2019-04-01,41,59.1300,58.0000,60.0700,-1.9110,1.5897,0.7917,-33.0725,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
54,4735-1,Slytherin,Harry Potter,2002,9.9900,2015-12-01,2019-04-01,41,48.8000,47.8700,50.3350,-1.9057,3.1455,1.5606,-30.7886,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
55,4719-1,Quality Quidditch Supplies,Harry Potter,2003,9.9900,2015-12-01,2019-04-01,41,49.9000,61.4700,44.7000,23.1864,-10.4208,-5.3537,-47.9536,1,0,mendeley_small_2015_2019,"[""franchise_power""]"
56,4720-1,Knockturn Alley,Harry Potter,2003,19.9900,2015-12-01,2019-04-01,41,90.2000,80.5000,76.5750,-10.7539,-15.1053,-7.8617,-17.7451,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
57,10132-1,Motorised Hogwarts Express,Harry Potter,2004,119.9900,2015-12-01,2019-04-01,41,487.0000,290.0000,185.0000,-40.4517,-62.0123,-38.3659,-69.1992,0,0,mendeley_small_2015_2019,"[""franchise_power"", ""adult_display""]"
58,4695-1,Mini Harry Potter Knight Bus,Harry Potter,2004,,2015-12-01,2019-04-01,41,27.2000,27.6700,31.5000,1.7279,15.8088,7.6145,-33.9286,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
59,4750-1,Draco's Encounter with Buckbeak,Harry Potter,2004,7.9900,2015-12-01,2019-04-01,41,45.1300,46.9300,41.4700,3.9885,-8.1099,-4.1407,-44.8637,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
60,4751-1,Harry and the Marauder's Map,Harry Potter,2004,9.9900,2015-12-01,2019-04-01,41,43.8700,48.4700,49.4700,10.4855,12.7650,6.1909,-30.5878,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
61,4752-1,Professor Lupin's Classroom,Harry Potter,2004,19.9900,2015-12-01,2019-04-01,41,80.6000,77.0700,85.2000,-4.3797,5.7072,2.8140,-20.6959,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
62,4753-1,Sirius Black's Escape,Harry Potter,2004,19.9900,2015-12-01,2019-04-01,41,99.2000,90.5300,93.2350,-8.7399,-6.0131,-3.0532,-12.8642,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
63,4754-1,Hagrid's Hut,Harry Potter,2004,29.9900,2015-12-01,2019-04-01,41,83.3300,71.8600,91.5650,-13.7646,9.8824,4.8248,-17.2211,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
64,4755-1,Knight Bus,Harry Potter,2004,29.9900,2015-12-01,2019-04-01,41,77.2700,98.7300,92.1350,27.7727,19.2377,9.1960,-27.2055,1,0,mendeley_small_2015_2019,"[""franchise_power""]"
65,4756-1,Shrieking Shack,Harry Potter,2004,49.9900,2015-12-01,2019-04-01,41,235.9300,177.5000,232.7050,-24.7658,-1.3669,-0.6858,-51.4687,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
66,4757-1,Hogwarts Castle,Harry Potter,2004,89.9900,2016-01-01,2019-04-01,40,184.0000,297.5000,406.2000,61.6848,120.7609,48.5802,-15.0616,1,1,mendeley_small_2015_2019,"[""franchise_power"", ""adult_display""]"
67,4758-1,Hogwarts Express,Harry Potter,2004,39.9900,2015-12-01,2019-04-01,41,134.0000,202.2500,170.3000,50.9328,27.0896,12.7340,-34.7368,1,0,mendeley_small_2015_2019,"[""franchise_power"", ""adult_display""]"
68,4762-1,Rescue from the Merpeople,Harry Potter,2005,19.9900,2015-12-01,2019-04-01,41,153.0700,121.8000,117.9700,-20.4286,-22.9307,-12.2109,-25.7399,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
69,4766-1,Graveyard Duel,Harry Potter,2005,29.9900,2015-12-01,2019-04-01,41,233.4700,238.1300,237.3300,1.9960,1.6533,0.8233,-26.4922,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
70,4767-1,Harry and Hungarian Horntail,Harry Potter,2005,29.9900,2015-12-01,2019-04-01,41,250.9300,165.5000,198.1850,-34.0454,-21.0198,-11.1292,-42.0796,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
71,4768-1,The Durmstrang Ship,Harry Potter,2005,49.9900,2015-12-01,2016-11-01,12,198.7700,,,,,,0.0000,0,,mendeley_small_2015_2019,"[""franchise_power""]"
72,4768-2,The Durmstrang Ship with minifigures,Harry Potter,2005,,2015-12-01,2019-04-01,41,175.8800,201.8700,191.9000,14.7771,9.1085,4.4550,-48.9771,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
73,5378-1,Hogwats Castle,Harry Potter,2007,89.9900,2015-12-01,2019-04-01,41,432.9300,475.1200,419.0750,9.7452,-3.2003,-1.6132,-66.8404,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
74,4736-1,Freeing Dobby,Harry Potter,2010,10.9900,2015-12-01,2019-04-01,41,32.8500,38.3100,38.9950,16.6210,18.7062,8.9524,-42.6544,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
75,4737-1,Quidditch Match,Harry Potter,2010,19.9900,2015-12-01,2019-04-01,41,115.2300,127.0800,120.6150,10.2838,4.6733,2.3100,-44.7551,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
76,4738-1,Hagrid's Hut,Harry Potter,2010,39.9900,2015-12-01,2019-04-01,41,154.2600,148.2500,135.4900,-3.8960,-12.1678,-6.2811,-31.8488,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
77,4840-1,The Burrow,Harry Potter,2010,59.9900,2015-12-01,2019-04-01,41,208.0000,231.2600,194.0650,11.1827,-6.6995,-3.4078,-28.6820,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
78,4841-1,Hogwarts Express,Harry Potter,2010,79.9900,2015-12-01,2019-04-01,41,285.6500,274.3100,279.9000,-3.9699,-2.0130,-1.0116,-48.4746,0,0,mendeley_small_2015_2019,"[""franchise_power"", ""adult_display""]"
79,4842-1,Hogwarts Castle,Harry Potter,2010,129.9900,2015-12-01,2019-04-01,41,444.6900,488.0100,464.7800,9.7416,4.5178,2.2339,-43.3558,0,0,mendeley_small_2015_2019,"[""franchise_power"", ""adult_display""]"
80,10217-1,Diagon Alley,Harry Potter,2011,149.9900,2015-12-01,2019-04-01,41,340.7000,381.4300,369.6350,11.9548,8.4928,4.1599,-20.8359,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
81,30110-1,Trolley,Harry Potter,2011,4.9900,2015-12-01,2019-04-01,41,18.8300,22.8100,24.4700,21.1365,29.9522,13.9966,-49.8039,1,0,mendeley_small_2015_2019,"[""franchise_power""]"
82,30111-1,The Lab,Harry Potter,2011,3.9900,2015-12-01,2019-04-01,41,11.8800,14.2700,16.6250,20.1178,39.9411,18.2967,-38.0870,1,1,mendeley_small_2015_2019,"[""franchise_power""]"
83,40028-1,Mini Hogwarts Express,Harry Potter,2011,3.9900,2015-12-01,2019-04-01,41,13.6500,15.7900,16.8850,15.6777,23.6996,11.2203,-43.2582,0,0,mendeley_small_2015_2019,"[""franchise_power"", ""adult_display""]"
84,4865-1,The Forbidden Forest,Harry Potter,2011,11.9900,2015-12-01,2019-04-01,41,49.8400,54.7000,48.7400,9.7512,-2.2071,-1.1097,-30.8958,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
85,4866-1,The Knight Bus,Harry Potter,2011,34.9900,2015-12-01,2019-04-01,41,111.3900,119.0700,133.2150,6.8947,19.5933,9.3587,-22.4975,0,0,mendeley_small_2015_2019,"[""franchise_power""]"
86,4867-1,Hogwarts,Harry Potter,2011,49.9900,2015-12-01,2019-04-01,41,176.2100,206.6700,256.2950,17.2862,45.4486,20.6021,-46.0108,0,1,mendeley_small_2015_2019,"[""franchise_power"", ""adult_display""]"
87,VSDCC1-1,Voldemort Minifigure,Harry Potter,2011,,2015-12-01,2017-11-01,24,262.4700,114.2700,,-56.4636,,,-63.7157,0,,mendeley_small_2015_2019,"[""franchise_power""]"
88,10029-1,Lunar Lander,Discovery,2003,39.9900,2015-12-01,2019-04-01,41,348.1400,262.1400,305.5900,-24.7027,-12.2221,-6.3101,-25.9492,0,0,mendeley_small_2015_2019,"[""stem_icon""]"
89,7467-1,International Space Station,Discovery,2003,14.9900,2015-12-01,2019-04-01,41,89.5600,71.4700,85.3300,-20.1987,-4.7231,-2.3901,-24.3189,0,0,mendeley_small_2015_2019,"[""stem_icon""]"
90,7468-1,Saturn V Moon Mission,Discovery,2003,19.9900,2015-12-01,2019-04-01,41,140.4700,152.6000,135.4300,8.6353,-3.5880,-1.8104,-49.8254,0,0,mendeley_small_2015_2019,"[""stem_icon""]"
91,7469-1,Mission to Mars,Discovery,2003,29.9900,2015-12-01,2019-04-01,41,84.8700,61.4000,97.9000,-27.6541,15.3529,7.4025,-33.8699,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
92,7470-1,Space Shuttle Discovery-STS-31,Discovery,2003,49.9900,2015-12-01,2019-04-01,41,170.8200,141.7300,150.3300,-17.0296,-11.9951,-6.1891,-26.5484,0,0,mendeley_small_2015_2019,"[""stem_icon""]"
93,7471-1,Mars Exploration Rover,Discovery,2003,89.9900,2015-12-01,2019-04-01,41,155.5300,119.6700,127.5650,-23.0566,-17.9805,-9.4354,-45.9269,0,0,mendeley_small_2015_2019,"[""stem_icon""]"
94,390-2,1913 Cadillac,Hobby,1975,,2015-12-01,2017-11-01,24,65.0000,25.0700,,-61.4308,,,-63.0769,0,,mendeley_small_2015_2019,"[""general_collectible""]"
95,391-1,1926 Renault,Hobby,1975,,2015-12-01,2017-11-01,24,40.0000,55.2900,,38.2250,,,0.0000,1,,mendeley_small_2015_2019,"[""general_collectible""]"
96,392-1,Formula 1,Hobby,1975,,2016-03-01,2019-04-01,32,80.0000,73.7500,47.0000,-7.8125,-41.2500,-23.3515,-52.0875,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
97,393-1,Norton Motocycle,Hobby,1976,,2015-12-01,2019-04-01,25,66.0000,62.5700,28.0000,-5.1970,-57.5758,-34.8661,-57.7868,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
98,394-1,Harley-Davidson 1000CC,Hobby,1976,,2015-12-01,2019-04-01,41,57.7300,90.6000,109.1350,56.9375,89.0438,37.4932,0.0000,1,1,mendeley_small_2015_2019,"[""general_collectible""]"
99,395-1,1909 Rolls-Royce,Hobby,1976,,2015-12-01,2019-04-01,33,83.0000,20.0000,20.0000,-75.9036,-75.9036,-50.9119,-80.7229,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
100,396-1,Thatcher Perkins Locomotive,Hobby,1976,,2015-12-01,2017-11-01,24,27.5500,74.0000,,168.6025,,,0.0000,1,,mendeley_small_2015_2019,"[""general_collectible""]"
101,398-1,USS Constellation,Hobby,1978,,2015-12-01,2019-04-01,41,26.0700,38.7500,28.6550,48.6383,9.9156,4.8406,-49.1482,1,0,mendeley_small_2015_2019,"[""general_collectible""]"
102,10021-1,USS Constellation,Hobby,2003,59.9900,2015-12-01,2019-04-01,41,171.5000,143.5000,147.7700,-16.3265,-13.8367,-7.1758,-43.3411,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
103,10251-1,Brick Bank,Advanced Models,2016,170.0000,2015-12-01,2019-04-01,41,238.1300,163.0500,153.0400,-31.5290,-35.7326,-19.8330,-46.4326,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
104,10252-1,Volkswagen Beetle,Advanced Models,2016,99.9900,2016-06-01,2019-04-01,35,188.3300,89.4700,93.2000,-52.4930,-50.5124,-29.6526,-94.4088,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
105,10253-1,Big Ben,Advanced Models,2016,249.9900,2016-05-01,2019-04-01,36,365.0000,219.5300,206.6000,-39.8548,-43.3973,-24.7652,-47.1233,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
106,71040-1,The Disney Castle,Advanced Models,2016,349.9900,2016-07-01,2019-04-01,21,500.7100,344.7800,,-31.1418,,,-39.0466,0,,mendeley_small_2015_2019,"[""franchise_power""]"
107,3450-1,Statue of Liberty,Advanced Models,2000,198.9900,2015-12-01,2019-04-01,39,1790.0000,1490.0000,1529.1800,-16.7598,-14.5709,-7.5722,-30.1860,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
108,3723-1,Lego Mini-Figure,Advanced Models,2000,148.9900,2015-12-01,2019-04-01,27,787.2500,80.0000,267.5000,-89.8380,-66.0210,-41.7085,-89.8380,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
109,3451-1,Sopwith Camel,Advanced Models,2001,49.9900,2015-12-01,2019-04-01,41,139.4700,141.7300,127.9650,1.6204,-8.2491,-4.2133,-28.9334,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
110,3724-1,Lego Dragon,Advanced Models,2001,98.9900,2016-11-01,2019-04-01,30,650.0000,725.0000,605.6700,11.5385,-6.8200,-3.4702,-37.5938,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
111,10024-1,Red Baron,Advanced Models,2002,49.9900,2015-12-01,2019-04-01,41,184.8700,280.9300,288.5300,51.9608,56.0718,24.9287,-14.5724,1,1,mendeley_small_2015_2019,"[""general_collectible""]"
112,10124-1,Wright Flyer,Advanced Models,2003,59.9900,2015-12-01,2019-04-01,41,262.2000,246.5500,281.8000,-5.9687,7.4752,3.6703,-19.1521,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
113,10152-1,Maersk Sealand Container Ship,Advanced Models,2004,74.9900,2015-12-01,2019-04-01,41,206.4700,153.7300,221.2850,-25.5437,7.1754,3.5255,-25.5437,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
114,10173-1,Holiday Train,Advanced Models,2006,89.9900,2015-12-01,2019-04-01,41,701.7300,457.1300,526.7000,-34.8567,-24.9426,-13.3644,-59.9846,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
115,10177-1,Boeing 787 Dreamliner,Advanced Models,2006,79.9900,2015-12-01,2019-04-01,41,506.5800,501.7100,405.2000,-0.9613,-20.0126,-10.5643,-40.1148,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
116,10181-1,Eifeel Tower,Advanced Models,2007,199.9900,2015-12-01,2019-04-01,41,1650.0000,1150.0000,880.7350,-30.3030,-46.6221,-26.9398,-60.8285,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
117,10182-1,Café Corner,Advanced Models,2007,139.9900,2015-12-01,2019-04-01,41,1740.0000,1440.0000,1492.2350,-17.2414,-14.2394,-7.3930,-37.8444,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
118,10190-1,Market Street,Advanced Models,2007,89.9900,2015-12-01,2019-04-01,41,1540.0000,1200.0000,1133.2500,-22.0779,-26.4123,-14.2167,-76.2942,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
119,10184-1,Town Plan,Advanced Models,2008,149.9900,2015-12-01,2019-04-01,41,355.4000,285.8900,286.6800,-19.5582,-19.3360,-10.1868,-28.7409,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
120,10185-1,Green Grocer,Advanced Models,2008,149.9900,2015-12-01,2019-04-01,41,994.5300,1100.0000,1021.7350,10.6050,2.7355,1.3585,-49.5772,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
121,10187-1,Volkswagen Beetle,Advanced Models,2008,119.9900,2015-12-01,2019-04-01,41,757.3300,618.2000,575.0000,-18.3711,-24.0754,-12.8653,-66.9532,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
122,10189-1,Taj Mahal,Advanced Models,2008,299.9900,2015-12-01,2019-04-01,41,2810.0000,2160.0000,1431.4350,-23.1317,-49.0593,-28.6272,-80.5694,0,0,mendeley_small_2015_2019,"[""general_collectible""]"
